Name,Date,Score,Amount
Alice,01-08-2025,90,100
Bob,08-02-2025,85,
Charlie,,78,50
Alice,01-08-2025,90,100
David,03-08-2025,88,120
Eve,04-08-2025,95,130
Frank,08-05-2025,80,90
Grace,06-08-2025,,70
Heidi,07-08-2025,85,
Ivan,08-08-2025,92,150
Judy,08-09-2025,75,60
Mallory,10-08-2025,88,110
Niaj,11-08-2025,93,140
Olivia,,82,100
Peggy,13-08-2025,90,120
Sybil,08/14/2025,87,
Trent,15-08-2025,89,115
Victor,16-08-2025,95,130
Walter,08-17-2025,78,85
Xavier,18-08-2025,91,140
Yvonne,,88,125
Zara,20-08-2025,92,150
Alice,01-08-2025,90,100
Bob,08/21/2025,85,
Charlie,,78,50
David,23-08-2025,88,120
Eve,24-08-2025,95,130
Frank,08-25-2025,80,90
Grace,26-08-2025,,70
Heidi,27-08-2025,85,
Ivan,28-08-2025,92,150
Judy,08/29/2025,75,60
Mallory,30-08-2025,88,110
Niaj,31-08-2025,93,140
Olivia,,82,100
Peggy,01-09-2025,90,120
Sybil,08-02-2025,87,
Trent,03-09-2025,89,115
Victor,04-09-2025,95,130
Walter,08-05-2025,78,85
Xavier,06-09-2025,91,140
Yvonne,,88,125
Zara,08-09-2025,92,150
Alice,09-09-2025,90,100
Bob,08-10-2025,85,
Charlie,,78,50
David,12-09-2025,88,120
Eve,13-09-2025,95,130
Frank,08-14-2025,80,90
Grace,15-09-2025,,70
Heidi,16-09-2025,85,
Ivan,17-09-2025,92,150
